ubigeo,departamento,provincia,distrito,ACCION POPULAR,ALIANZA PARA EL PROGRESO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,DEMOCRACIA DIRECTA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",FUERZA POPULAR,JUNTOS POR EL PERU,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO MORADO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POPULAR CRISTIANO - PPC,PERU PATRIA SEGURA,PODEMOS PERU,RENACIMIENTO UNIDO NACIONAL,RENOVACION POPULAR,UNION POR EL PERU,VICTORIA NACIONAL
921324,AMERICA,ESTADOS UNIDOS DE AMERICA,SAN DIEGO,31,0,68,0,0,23,20,4,13,1,1,12,1,1,0,99,0,14
921325,AMERICA,ESTADOS UNIDOS DE AMERICA,SAN FRANCISCO,198,20,414,4,9,340,351,35,117,6,100,80,27,42,7,595,13,222
921328,AMERICA,ESTADOS UNIDOS DE AMERICA,SEATLE,52,9,194,3,7,65,115,8,33,4,18,24,7,21,7,216,0,56
921331,AMERICA,ESTADOS UNIDOS DE AMERICA,WASHINGTON D. C.,488,56,875,8,21,775,655,90,276,29,248,183,42,137,22,1594,15,441
921335,AMERICA,ESTADOS UNIDOS DE AMERICA,NUEVA JERSEY,467,54,718,12,19,1141,520,78,188,36,170,185,34,161,16,1708,23,635
921350,AMERICA,ESTADOS UNIDOS DE AMERICA,CAROLINA DEL NORTE (CHARLOTTE),46,5,125,1,2,69,49,10,32,3,3,25,4,8,1,194,3,36
921364,AMERICA,ESTADOS UNIDOS DE AMERICA,TAMPA,54,8,202,0,2,98,67,7,31,4,3,49,8,11,0,313,2,57
921372,AMERICA,ESTADOS UNIDOS DE AMERICA,PHOENIX,18,0,58,0,0,19,21,5,20,1,7,12,1,2,0,119,1,7
921373,AMERICA,ESTADOS UNIDOS DE AMERICA,DALLAS,85,14,232,3,5,122,92,6,40,8,16,47,7,17,10,335,3,85
921374,AMERICA,ESTADOS UNIDOS DE AMERICA,SALT LAKE CITY,90,16,212,1,3,151,90,15,44,10,47,34,9,21,1,325,3,75
921381,AMERICA,ESTADOS UNIDOS DE AMERICA,ATLANTA,109,9,221,2,0,171,119,13,43,2,59,29,6,21,3,377,11,110
921385,AMERICA,ESTADOS UNIDOS DE AMERICA,HARTFORD,173,22,294,1,6,328,233,32,112,18,65,63,17,53,9,503,9,231
921501,AMERICA,GUATEMALA,GUATEMALA,7,3,39,0,0,17,11,3,6,2,4,2,3,3,0,53,0,4
921601,AMERICA,HAITI,PUERTO PRINCIPE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
921701,AMERICA,HONDURAS,TEGUCIGALPA,4,0,16,0,0,6,5,0,0,1,0,2,1,0,0,11,0,5
921901,AMERICA,MEXICO,GUADALAJARA,15,1,32,0,0,11,17,7,10,2,5,5,0,2,0,54,1,7
