ambito,region,provincia,distrito,total_actas,actas_contabilizadas,pct_actas,fuente_proporcion,votos_AHORA NACIÓN - AN,votos_ALIANZA ELECTORAL VENCEREMOS,votos_ALIANZA PARA EL PROGRESO,votos_AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,votos_FE EN EL PERÚ,votos_FUERZA POPULAR,votos_FUERZA Y LIBERTAD,votos_JUNTOS POR EL PERÚ,votos_LIBERTAD POPULAR,votos_PARTIDO APRISTA PERUANO,votos_PARTIDO CÍVICO OBRAS,votos_PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,votos_PARTIDO DEL BUEN GOBIERNO,votos_PARTIDO DEMOCRATICO FEDERAL,votos_PARTIDO DEMOCRÁTICO SOMOS PERÚ,votos_PARTIDO DEMÓCRATA UNIDO PERÚ,votos_PARTIDO DEMÓCRATA VERDE,votos_PARTIDO FRENTE DE LA ESPERANZA 2021,votos_PARTIDO MORADO,votos_PARTIDO PATRIÓTICO DEL PERÚ,votos_PARTIDO PAÍS PARA TODOS,votos_PARTIDO POLÍTICO COOPERACIÓN POPULAR,votos_PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,votos_PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,votos_PARTIDO POLÍTICO PERÚ ACCIÓN,votos_PARTIDO POLÍTICO PERÚ PRIMERO,votos_PARTIDO POLÍTICO PRIN,votos_PARTIDO SICREO,votos_PERÚ MODERNO,votos_PODEMOS PERÚ,"votos_PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",votos_PROGRESEMOS,votos_RENOVACIÓN POPULAR,votos_SALVEMOS AL PERÚ,votos_UN CAMINO DIFERENTE,votos_UNIDAD NACIONAL,votos_VOTOS EN BLANCO,votos_VOTOS NULOS
PERÚ,PUNO,HUANCANÉ,TARACO,41,37,90.24,distrito,807,1277,37,2,12,168,8,1766,10,10,1466,4,142,12,24,691,29,305,17,65,59,532,9,42,17,85,8,156,2,58,55,35,84,10,9,10,913,722
PERÚ,PUNO,HUANCANÉ,VILQUE CHICO,34,32,94.12,distrito,617,386,20,3,17,116,3,2322,6,3,942,5,74,12,7,110,42,178,11,36,53,340,2,73,3,28,4,63,3,67,32,28,50,7,4,10,940,446
PERÚ,PUNO,LAMPA,CABANILLA,18,8,44.44,distrito,342,682,22,4,4,128,2,796,14,0,639,4,92,9,4,29,9,144,9,18,32,448,2,16,2,14,20,97,0,45,34,16,16,4,4,2,353,171
PERÚ,PUNO,LAMPA,CALAPUJA,9,6,66.67,distrito,195,154,12,3,4,81,0,369,2,6,394,2,40,2,3,8,12,92,4,10,32,160,0,15,3,3,0,20,0,18,22,12,24,6,3,3,174,78
PERÚ,PUNO,LAMPA,LAMPA,36,17,47.22,distrito,938,900,40,13,4,241,2,2143,2,21,1300,6,244,17,13,87,21,241,23,49,97,578,6,66,13,61,8,142,0,53,51,32,80,4,8,4,699,428
PERÚ,PUNO,LAMPA,NICASIO,10,0,0.0,provincia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,LAMPA,OCUVIRI,7,2,28.57,provincia,112,116,6,1,2,39,1,287,1,2,187,1,31,2,2,18,5,42,2,8,13,105,1,9,2,7,1,27,0,11,9,5,12,1,1,1,114,67
PERÚ,PUNO,LAMPA,PALCA,7,0,0.0,provincia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,LAMPA,PARATIA,8,0,0.0,provincia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,LAMPA,PUCARA,18,8,44.44,distrito,367,274,18,4,14,122,2,1159,2,9,495,2,86,2,9,164,25,99,7,32,29,385,7,36,16,16,0,79,0,43,38,11,56,4,0,2,369,304
